ASKA_name,Ecocyc_name,Keio_name,Synonyms,Accession-2,Left-End-Position,Right-End-Position,Direction,Product,RegulonDB,UniProt,Gene products (polypeptides and RNAs only),"Genes of polypeptide, complex, or RNA",growth (LB),normalized to median growth (LB),growth (M9+amino acids),normalized to median growth (M9+amino acids),COG_0204,COG_1025,EntrezID,COG_1025,COG_1025,
yfaO,nudI,yfaO,yfaO,ECK2244,2364554,2364979,+,pyrimidine deoxynucleotide diphosphatase NudI,b2251,P52006,pyrimidine deoxynucleotide diphosphatase NudI,nudI,0.444545042,0.982563327,0.306447184,1.012584606,Nucleotide transport and metabolism,Nucleotide transport and metabolism,946740,nan,nan,
yfaZ,yfaZ,yfaZ,noSyn,ECK2243,2363733,2364275,-,putative porin YfaZ,b2250,P76471,putative porin YfaZ,yfaZ,0.449508599,0.993534114,0.298933922,0.987758753,nan,no COG,946739,nan,nan,
nuoB,nuoB,nuoB,noSyn,ECK2281,2403951,2404613,-,NADH:quinone oxidoreductase subunit B,b2287,P0AFC7,NADH:quinone oxidoreductase subunit B,nuoB,0.479331851,1.05945147,0.211788123,0.699805398,Energy production and conversion,Energy production and conversion,946738,nan,nan,
yfaD,rpnE,yfaD,yfaD,ECK2236,2356904,2357803,+,inactive recombination-promoting nuclease-like protein RpnE,b2244,P37014,inactive recombination-promoting nuclease-like protein RpnE,rpnE,0.462766822,1.02283833,0.28988554,0.957860443,"Replication, recombination and repair",Replication and recombination and repair,946737,nan,nan,
yfbB,menH,yfbB,yfbB,ECK2257,2376834,2377592,-,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",b2263,P37355,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",menH,0.432734096,0.95645798,0.29259283,0.966806065,Coenzyme transport and metabolism,Coenzyme transport and metabolism,946736,General function prediction only,nan,
glpC,glpC,glpC,noSyn,ECK2235,2355521,2356711,+,anaerobic glycerol-3-phosphate dehydrogenase subunit C,b2243,P0A996,anaerobic glycerol-3-phosphate dehydrogenase subunit C,glpC,0.434577029,0.960531355,0.303109945,1.001557463,Energy production and conversion,Energy production and conversion,946735,nan,nan,
glpB,glpB,glpB,psi-51,ECK2234,2354265,2355524,+,anaerobic glycerol-3-phosphate dehydrogenase subunit B,b2242,P13033,anaerobic glycerol-3-phosphate dehydrogenase subunit B,glpB,0.431139187,0.952932804,0.299081791,0.988247351,Amino acid transport and metabolism,Amino acid transport and metabolism,946733,nan,nan,
inaA,inaA,inaA,yfaG,ECK2229,2348822,2349472,-,putative lipopolysaccharide kinase InaA,b2237,P27294,putative lipopolysaccharide kinase InaA,inaA,0.43321365,0.957517923,0.292865394,0.967706688,nan,no COG,946731,nan,nan,
yfaQ,yfaQ,yfaQ,noSyn,ECK2219,2328148,2329797,-,tandem DUF2300 domain-containing protein YfaQ,b2226,P76463,tandem DUF2300 domain-containing protein YfaQ,yfaQ,0.413721586,0.914435252,0.29212328,0.965254543,Function unknown,Function unknown,946730,nan,nan,
yfaE,yfaE,yfaE,noSyn,ECK2228,2348514,2348768,+,ferredoxin-like diferric-tyrosyl radical cofactor mainteNAce protein YfaE,b2236,P0ABW3,ferredoxin-like diferric-tyrosyl radical cofactor mainteNAce protein YfaE,yfaE,0.409927789,0.906049947,0.308222854,1.018451903,Energy production and conversion,Energy production and conversion,946729,nan,nan,
yfaP,yfaP,yfaP,noSyn,ECK2218,2327367,2328143,-,DUF2135 domain-containing protein YfaP,b2225,P76462,DUF2135 domain-containing protein YfaP,yfaP,0.436959205,0.9657966,0.297920498,0.984410123,Function unknown,Function unknown,946728,nan,nan,
atoB,atoB,atoB,noSyn,ECK2217,2326109,2327293,+,acetyl-CoA acetyltransferase,b2224,P76461,acetyl-CoA acetyltransferase,atoB,0.427337823,0.944530774,0.294993298,0.974737863,Lipid transport and metabolism,Lipid transport and metabolism,946727,nan,nan,
ykfI,ykfI,ykfI,noSyn,ECK0246,263328,263669,-,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,b0245,P77692,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,ykfI,0.480093323,1.061134526,0.313393528,1.035537213,nan,no COG,946726,nan,nan,
glpQ,glpQ,glpQ,noSyn,ECK2231,2349935,2351011,-,glycerophosphoryl diester phosphodiesterase GlpQ,b2239,P09394,glycerophosphoryl diester phosphodiesterase GlpQ,glpQ,0.443123838,0.979422086,0.307939116,1.017514355,Lipid transport and metabolism,Lipid transport and metabolism,946725,nan,nan,
acnA,acnA,acnA,acn,ECK1271,1335831,1338506,+,aconitate hydratase 1,b1276,P25516,aconitate hydratase 1,acnA,0.431926667,0.954673347,0.290965341,0.9614284,Energy production and conversion,Energy production and conversion,946724,nan,nan,
ypdA,pyrS,ypdA,ypdA,ECK2376,2498671,2500368,+,PyrS-<i>N</i>-phospho-L-histidine // sensor histidine kinase PyrS,b2380,P0AA93,PyrS-<i>N</i>-phospho-L-histidine // sensor histidine kinase PyrS,pyrS,0.460416368,1.017643197,0.297117857,0.981757981,Signal transduction mechanisms,Signal transduction mechanisms,946723,nan,nan,
ymfE,ymfE,ymfE,noSyn,ECK1124,1197533,1198237,-,e14 prophage; uncharacterized protein YmfE,b1138,P75968,e14 prophage; uncharacterized protein YmfE,ymfE,0.399836128,0.883744681,0.27300251,0.902074334,nan,no COG,946722,nan,nan,
atoE,atoE,atoE,noSyn,ECK2216,2324756,2326078,+,short chain fatty acid transporter,b2223,P76460,short chain fatty acid transporter,atoE,0.440391259,0.973382357,0.291792914,0.964162925,Lipid transport and metabolism,Lipid transport and metabolism,946721,nan,nan,
menD,menD,menD,noSyn,ECK2258,2377589,2379259,-,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,b2264,P17109,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,menD,0.446757286,0.987452977,0.285719766,0.944095596,Coenzyme transport and metabolism,Coenzyme transport and metabolism,946720,nan,nan,
atoA,atoA,atoA,noSyn,ECK2215,2324109,2324759,+,acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;,b2222,P76459,acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;,atoA,0.422950877,0.934834453,0.301924894,0.997641735,Lipid transport and metabolism,Lipid transport and metabolism,946719,nan,nan,
yfaH,yfaH,yfaH,noSyn,ECK2230,2349687,2349893,+,putative uncharacterized protein YfaH,b2238,P45505,putative uncharacterized protein YfaH,yfaH,0.439946722,0.972399812,0.283219012,0.935832427,nan,no COG,946718,nan,nan,
rcsD,rcsD,rcsD,yojP // yojQ // yojN,ECK2209,2313488,2316160,+,RcsD-<i>N</i>-phospho-L-histidine // RcsD phosphotransferase,b2216,P39838,RcsD-<i>N</i>-phospho-L-histidine // RcsD phosphotransferase,rcsD,0.449338263,0.993157625,0.319040083,1.05419496,Signal transduction mechanisms,Signal transduction mechanisms,946717,nan,nan,
ompC,ompC,ompC,meoA // par,ECK2207,2311646,2312749,-,outer membrane porin C,nan,P06996,outer membrane porin C,ompC,0.385709324,0.852520668,0.158659333,0.524253468,nan,Cell wall/membrane/envelope biogenesis,946716,nan,nan,
clcA,clcA,clcA,eriC // yadQ,ECK0154,175107,176528,+,chloride:H<sup>+</sup> antiporter ClcA,b0155,P37019,chloride:H<sup>+</sup> antiporter ClcA,clcA,0.422867462,0.934650083,0.294133108,0.97189556,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,946715,nan,nan,
ccmA,ccmA,ccmA,yejW,ECK2193,2297021,2297644,-,cytochrome <i>c</i> maturation protein A,b2201,P33931,cytochrome <i>c</i> maturation protein A,ccmA,0.449863591,0.994318741,0.2989797,0.987910014,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,946714,nan,nan,
glpA,glpA,glpA,noSyn,ECK2233,2352647,2354275,+,anaerobic glycerol-3-phosphate dehydrogenase subunit A,b2241,P0A9C0,anaerobic glycerol-3-phosphate dehydrogenase subunit A,glpA,0.449054935,0.992531395,0.296364583,0.979268958,Energy production and conversion,Energy production and conversion,946713,nan,nan,
menF,menF,menF,yfbA,ECK2259,2379348,2380643,-,isochorismate synthase MenF,b2265,P38051,isochorismate synthase MenF,menF,0.422195209,0.933164224,0.300590375,0.99323212,Coenzyme transport and metabolism,Coenzyme transport and metabolism,946712,Secondary metabolites biosynthesis and transport and catabolism,nan,
yojL,ftp,yojL,yojK // yojL // apbE,ECK2206,2310479,2311534,-,FAD:protein FMN transferase,b2214,P0AB85,FAD:protein FMN transferase,ftp,0.433860151,0.958946863,0.285724319,0.94411064,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,946711,Coenzyme transport and metabolism,nan,
ada,ada,ada,noSyn,ECK2205,2309341,2310405,-,DNA-binding transcriptional dual regulator / DNA repair protein Ada,b2213,P06134,DNA-binding transcriptional dual regulator / DNA repair protein Ada,ada,0.442610724,0.978287967,0.292332232,0.965944978,"Replication, recombination and repair",Replication and recombination and repair,946710,nan,nan,
ccmD,ccmD,ccmD,yojM,ECK2190,2295377,2295586,-,cytochrome <i>c</i> maturation protein D,b2198,P0ABM5,cytochrome <i>c</i> maturation protein D,ccmD,0.459624391,1.015892717,0.303576077,1.003097692,"Intracellular trafficking, secretion, and vesicular transport",Intracellular trafficking and secretion and and vesicular transport,946709,nan,nan,
alkB,alkB,alkB,aidD,ECK2204,2308691,2309341,-,DNA oxidative demethylase,b2212,P05050,DNA oxidative demethylase,alkB,0.424382669,0.937999094,0.296103963,0.978407798,"Replication, recombination and repair",Replication and recombination and repair,946708,nan,nan,
yqfE,yqfE,yqfE,noSyn,ECK2911,3059381,3059611,-,putative protein YqfE,b2915,P64562,putative protein YqfE,yqfE,0.4936071,1.091003583,0.307510903,1.016099422,nan,no COG,946707,nan,nan,
napC,napC,napC,yejX,ECK2194,2297657,2298259,-,periplasmic nitrate reductase cytochrome c protein,b2202,P0ABL5,periplasmic nitrate reductase cytochrome c protein,napC,0.427771599,0.945489536,0.304277019,1.005413793,Energy production and conversion,Energy production and conversion,946706,nan,nan,
yojI,yojI,yojI,yojJ,ECK2203,2306972,2308615,-,ABC transporter family protein / microcin J25 efflux protein,b2211,P33941,ABC transporter family protein / microcin J25 efflux protein,yojI,0.432803465,0.956611304,0.298783439,0.987261514,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,946705,nan,nan,
glpT,glpT,glpT,noSyn,ECK2232,2351016,2352374,-,sn-glycerol 3-phosphate:phosphate antiporter,b2240,P08194,sn-glycerol 3-phosphate:phosphate antiporter,glpT,0.432046313,0.954937795,0.291112456,0.961914508,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946704,nan,nan,
ccmC,ccmC,ccmC,yejT // yejU,ECK2191,2295583,2296320,-,cytochrome <i>c</i> maturation protein C,b2199,P0ABM1,cytochrome <i>c</i> maturation protein C,ccmC,0.42717147,0.944163089,0.301034735,0.994700407,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,946703,nan,nan,
mqo,mqo,mqo,yojH,ECK2202,2305108,2306754,-,malate:quinone oxidoreductase,b2210,P33940,malate:quinone oxidoreductase,mqo,0.449166978,0.992779039,0.301824321,0.997309415,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946702,nan,nan,
yeiR,yeiR,yeiR,noSyn,ECK2167,2267829,2268815,+,zinc-binding GTPase YeiR,b2173,P33030,zinc-binding GTPase YeiR,yeiR,0.45945622,1.015521015,0.285670917,0.943934187,General function prediction only,General function prediction only,946701,nan,nan,
eco,eco,eco,eti,ECK2201,2303905,2304393,+,serine protease inhibitor ecotin,b2209,P23827,serine protease inhibitor ecotin,eco,0.447310916,0.988676646,0.289612284,0.956957531,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,946700,nan,nan,
yeiN,psuG,yeiN,yeiN // pscG,ECK2158,2257429,2258367,-,pseudouridine-5'-phosphate glycosidase,b2165,P33025,pseudouridine-5'-phosphate glycosidase,psuG,0.433113074,0.957295622,0.299078684,0.988237086,Nucleotide transport and metabolism,Nucleotide transport and metabolism,946699,nan,nan,
napB,napB,napB,yejY,ECK2195,2298269,2298718,-,periplasmic nitrate reductase cytochrome c<SUB>550</SUB> protein,b2203,P0ABL3,periplasmic nitrate reductase cytochrome c<SUB>550</SUB> protein,napB,0.416167882,0.91984222,0.306061908,1.01131155,Energy production and conversion,Energy production and conversion,946698,Inorganic ion transport and metabolism,nan,
ccmE,ccmE,ccmE,yejS,ECK2189,2294901,2295380,-,periplasmic heme chaperone,b2197,P69490,periplasmic heme chaperone,ccmE,0.454750106,1.005119245,0.305630352,1.009885572,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,946697,Energy production and conversion,nan,
rtn,pdeN,rtn,rtn,ECK2170,2270726,2272282,+,putative c-di-GMP phosphodiesterase PdeN,b2176,P76446,putative c-di-GMP phosphodiesterase PdeN,pdeN,0.428675446,0.947487278,0.293914119,0.97117196,Signal transduction mechanisms,Signal transduction mechanisms,946695,nan,nan,
yejL,yejL,yejL,noSyn,ECK2181,2284129,2284356,+,DUF1414 domain-containing protein YejL,b2187,P0AD24,DUF1414 domain-containing protein YejL,yejL,0.44930725,0.993089079,0.300073527,0.991524315,Function unknown,Function unknown,946694,nan,nan,
yeiU,lpxT,yeiU,yeiU,ECK2168,2268854,2269567,+,Kdo<sub>2</sub>-lipid A phosphotransferase,b2174,P76445,Kdo<sub>2</sub>-lipid A phosphotransferase,lpxT,0.473261068,1.046033417,0.30297793,1.001121251,nan,no COG,946693,nan,nan,
ccmB,ccmB,ccmB,yejV,ECK2192,2296362,2297024,-,cytochrome <i>c</i> maturation protein B,b2200,P0ABL8,cytochrome <i>c</i> maturation protein B,ccmB,0.428485629,0.947067733,0.299024054,0.988056572,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,946692,nan,nan,
yejK,yejK,yejK,ndpA,ECK2180,2282940,2283947,-,nucleoid-associated protein YejK,b2186,P33920,nucleoid-associated protein YejK,yejK,0.420347999,0.929081396,0.28368734,0.937379908,"Replication, recombination and repair",Replication and recombination and repair,946690,nan,nan,
yejF,yejF,yejF,noSyn,ECK2174,2276300,2277889,+,putative oligopeptide ABC transporter ATP binding subunit YejF,b2180,P33916,putative oligopeptide ABC transporter ATP binding subunit YejF,yejF,0.456782795,1.009612031,0.295635592,0.976860174,"Secondary metabolites biosynthesis, transport and catabolism",Secondary metabolites biosynthesis and transport and catabolism,946689,nan,nan,
yeiQ,yeiQ,yeiQ,noSyn,ECK2166,2266245,2267711,+,putative oxidoreductase YeiQ,b2172,P33029,putative oxidoreductase YeiQ,yeiQ,0.474847057,1.049538876,0.307732409,1.016831338,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946688,nan,nan,
flgC,flgC,flgC,flaW,ECK1059,1131438,1131842,+,flagellar basal-body rod protein FlgC,b1074,P0ABX2,flagellar basal-body rod protein FlgC,flgC,0.403473122,0.89178341,0.290608982,0.960250892,Cell motility,Cell motility,946687,nan,nan,
spr,lexA,spr,exrA // spr // tsl // umuA,ECK4035,4257115,4257723,+,DNA-binding transcriptional repressor LexA,b4043,P0A7C2,DNA-binding transcriptional repressor LexA,lexA,0.397924772,0.879520073,0.301690929,0.996868652,Transcription,Cell wall/membrane/envelope biogenesis,946686,nan,nan,
yejE,yejE,yejE,noSyn,ECK2173,2275273,2276298,+,putative oligopeptide ABC transporter membrane subunit YejE,b2179,P33915,putative oligopeptide ABC transporter membrane subunit YejE,yejE,0.45405497,1.003582809,0.296829742,0.980805969,"Secondary metabolites biosynthesis, transport and catabolism",Secondary metabolites biosynthesis and transport and catabolism,946683,nan,nan,
bglX,bglX,bglX,glh // yohA,ECK2125,2219692,2221989,-,"&beta;-D-glucoside glucohydrolase, periplasmic",b2132,P33363,"&beta;-D-glucoside glucohydrolase, periplasmic",bglX,0.45263061,1.000434593,0.310037958,1.024449499,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946682,nan,nan,
yehZ,osmF,yehZ,yehZ,ECK2124,2218564,2219481,-,glycine betaine ABC transporter periplasmic binding protein OsmF,b2131,P33362,glycine betaine ABC transporter periplasmic binding protein OsmF,osmF,0.472704596,1.044803466,0.309827721,1.023754819,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,946681,nan,nan,
proA,proA,proA,pro(1) // pro1,ECK0244,261503,262756,+,glutamate-5-semialdehyde dehydrogenase,b0243,P07004,glutamate-5-semialdehyde dehydrogenase,proA,0.46505487,1.027895527,0.305865068,1.010661137,Amino acid transport and metabolism,Amino acid transport and metabolism,946680,nan,nan,
yejB,yejB,yejB,noSyn,ECK2172,2274179,2275273,+,putative oligopeptide ABC transporter membrane subunit YejB,b2178,P0AFU0,putative oligopeptide ABC transporter membrane subunit YejB,yejB,0.442292423,0.977584437,0.30264698,1.000027702,"Secondary metabolites biosynthesis, transport and catabolism",Secondary metabolites biosynthesis and transport and catabolism,946679,nan,nan,
ampE,ampE,ampE,noSyn,ECK0110,119281,120135,+,protein AmpE,b0111,P0AE14,protein AmpE,ampE,0.456990637,1.010071416,0.287764291,0.950851261,Defense mechanisms,Defense mechanisms,946678,nan,nan,
fpr,fpr,fpr,flxR // mvrA,ECK3916,4113726,4114472,-,flavodoxin/ferredoxin-NADP<sup>+</sup> reductase,b3924,P28861,flavodoxin/ferredoxin-NADP<sup>+</sup> reductase,fpr,0.452276566,0.999652061,0.307607302,1.016417953,Energy production and conversion,Signal transduction mechanisms,946677,Carbohydrate transport and metabolism,nan,
fruB,fruB,fruB,fpr // fruF,ECK2162,2262365,2263495,-,FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB,b2169,P69811,FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB,fruB,0.440009265,0.972538048,0.292148297,0.965337208,Signal transduction mechanisms,Signal transduction mechanisms,946677,Carbohydrate transport and metabolism,nan,
fruK,fruK,fruK,fpk,ECK2161,2261427,2262365,-,1-phosphofructokinase,b2168,P0AEW9,1-phosphofructokinase,fruK,0.319011027,0.70509961,0.245459019,0.811063168,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946676,nan,nan,
yejA,yejA,yejA,noSyn,ECK2171,2272364,2274178,+,putative oligopeptide ABC transporter periplasmic binding protein YejA,b2177,P33913,putative oligopeptide ABC transporter periplasmic binding protein YejA,yejA,0.439393569,0.971177194,0.318763021,1.053279473,Amino acid transport and metabolism,Amino acid transport and metabolism,946675,nan,nan,
yeiP,yeiP,yeiP,noSyn,ECK2165,2265450,2266022,+,elongation factor P-like protein YeiP,b2171,P0A6N8,elongation factor P-like protein YeiP,yeiP,0.463653927,1.024799068,0.308163394,1.018255432,"Translation, ribosomal structure and biogenesis",Translation and ribosomal structure and biogenesis,946674,nan,nan,
setB,setB,setB,yeiO,ECK2163,2263863,2265044,+,sugar exporter SetB,b2170,P33026,sugar exporter SetB,setB,0.437926895,0.967935453,0.304676668,1.006734343,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946673,nan,nan,
fruA,fruA,fruA,ptsF,ECK2160,2259719,2261410,-,fructose-specific PTS multiphosphoryl transfer protein FruA,b2167,P20966,fructose-specific PTS multiphosphoryl transfer protein FruA,fruA,0.431185393,0.953034932,0.301543654,0.996382014,Carbohydrate transport and metabolism,Signal transduction mechanisms,946672,Carbohydrate transport and metabolism,nan,
yeiM,psuT,yeiM,pscT // yeiM,ECK2157,2256085,2257335,-,putative pseudouridine transporter,b2164,P33024,putative pseudouridine transporter,psuT,0.455587727,1.006970611,0.305211242,1.008500721,Nucleotide transport and metabolism,Nucleotide transport and metabolism,946671,nan,nan,
yeiL,yeiL,yeiL,noSyn,ECK2156,2255355,2256014,+,DNA-binding transcriptional activator YeiL,b2163,P0A9E9,DNA-binding transcriptional activator YeiL,yeiL,0.437162808,0.966246617,0.302646723,1.000026853,Signal transduction mechanisms,Signal transduction mechanisms,946670,nan,nan,
nfo,nfo,nfo,noSyn,ECK2152,2250840,2251697,+,endonuclease IV,b2159,P0A6C1,endonuclease IV,nfo,0.451320395,0.997538668,0.311484667,1.029229817,"Replication, recombination and repair",Replication and recombination and repair,946669,nan,nan,
yeiH,yeiH,yeiH,noSyn,ECK2151,2249717,2250766,+,PF03601 family inner membrane protein YeiH,b2158,P62723,PF03601 family inner membrane protein YeiH,yeiH,0.461084674,1.019120333,0.2980029,0.984682404,Function unknown,Function unknown,946668,nan,nan,
lysP,lysP,lysP,cadR,ECK2149,2247063,2248532,-,lysine:H+ symporter,b2156,P25737,lysine:H+ symporter,lysP,0.432733374,0.956456383,0.298588569,0.986617612,Amino acid transport and metabolism,Amino acid transport and metabolism,946667,nan,nan,
yohC,yohC,yohC,noSyn,ECK2128,2225044,2225631,-,putative inner membrane protein,b2135,P0AD17,putative inner membrane protein,yohC,0.453735835,1.002877435,0.302638596,1,nan,no COG,946666,nan,nan,
fabF,fabF,fabF,vtr // cvc // fabJ // vtrB,ECK1081,1151939,1153180,+,3-oxoacyl-[acyl carrier protein] synthase 2,b1095,P0AAI5,3-oxoacyl-[acyl carrier protein] synthase 2,fabF,0.392514746,0.867562469,0.283732074,0.937527723,Lipid transport and metabolism,Lipid transport and metabolism,946665,Secondary metabolites biosynthesis and transport and catabolism,nan,
yeiC,psuK,yeiC,yeiC // pscK,ECK2159,2258355,2259296,-,putative pseudouridine kinase,b2166,P30235,putative pseudouridine kinase,psuK,0.441816266,0.976532002,0.296109776,0.978427006,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946664,nan,nan,
pbpG,pbpG,pbpG,yohB,ECK2127,2223938,2224870,-,peptidoglycan DD-endopeptidase PbpG,b2134,P0AFI5,peptidoglycan DD-endopeptidase PbpG,pbpG,0.430268896,0.951009228,0.306839896,1.013882233,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,946662,nan,nan,
yohD,yohD,yohD,noSyn,ECK2129,2225801,2226379,+,DedA family protein YohD,b2136,P33366,DedA family protein YohD,yohD,0.45860473,1.013638994,0.297407854,0.982716208,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,946661,nan,nan,
yehY,yehY,yehY,noSyn,ECK2123,2217400,2218557,-,glycine betaine ABC transporter membrane subunit YehY,b2130,P33361,glycine betaine ABC transporter membrane subunit YehY,yehY,0.451091047,0.997031747,0.299729098,0.990386229,Amino acid transport and metabolism,Amino acid transport and metabolism,946660,nan,nan,
yehX,yehX,yehX,noSyn,ECK2122,2216481,2217407,-,glycine betaine ABC transporter ATP binding subunit YehX,b2129,P33360,glycine betaine ABC transporter ATP binding subunit YehX,yehX,0.430309723,0.951099469,0.302701796,1.000208828,Amino acid transport and metabolism,Amino acid transport and metabolism,946659,nan,nan,
yeiE,yeiE,yeiE,noSyn,ECK2150,2248737,2249618,-,LysR-type transcriptional regulator YeiE,b2157,P0ACR4,LysR-type transcriptional regulator YeiE,yeiE,0.450559587,0.995857077,0.285684758,0.943979921,Transcription,Transcription,946657,nan,nan,
yehL,yehL,yehL,noSyn,ECK2111,2204596,2205684,+,putative AAA+ MoxR family ATPase YehL,b2119,P33348,putative AAA+ MoxR family ATPase YehL,yehL,0.442095732,0.977149697,0.326311729,1.078222452,General function prediction only,General function prediction only,946656,nan,nan,
yeiJ,nupX,yeiJ,yeiJ,ECK2154,2252895,2254145,-,putative nucleoside transporter,b2161,P33021,putative nucleoside transporter,nupX,0.452577812,1.000317896,0.309030389,1.021120217,Nucleotide transport and metabolism,Nucleotide transport and metabolism,946655,nan,nan,
yehQ,yehQ,yehQ,noSyn,ECK2114,2209100,2210944,+,SWIM zinc finger domains-containing protein YehQ,b2122,P33353,SWIM zinc finger domains-containing protein YehQ,yehQ,0.453709897,1.002820105,0.293456699,0.969660523,nan,no COG,946654,nan,nan,
dld,dld,dld,ldh,ECK2126,2222185,2223900,+,quinone-dependent D-lactate dehydrogenase,b2133,P06149,quinone-dependent D-lactate dehydrogenase,dld,0.437974961,0.968041693,0.300517072,0.992989907,Energy production and conversion,Energy production and conversion,946653,nan,nan,
yehM,yehM,yehM,yehO // yehN,ECK2112,2205695,2207974,+,uncharacterized protein YehM,b2120,P33349,uncharacterized protein YehM,yehM,0.44614675,0.98610353,0.308373014,1.018948072,nan,no COG,946651,nan,nan,
yehI,yehI,yehI,noSyn,ECK2109,2200279,2203911,+,DUF4132 domain-containing protein YehI,b2118,P33346,DUF4132 domain-containing protein YehI,yehI,0.434853299,0.961141986,0.315541411,1.0426344,nan,no COG,946649,nan,nan,
pncB,pncB,pncB,noSyn,ECK0922,989154,990356,-,nicotinate phosphoribosyltransferase,b0931,P18133,nicotinate phosphoribosyltransferase,pncB,0.437476411,0.966939764,0.266548897,0.880749847,Coenzyme transport and metabolism,Coenzyme transport and metabolism,946648,nan,nan,
pabC,pabC,pabC,noSyn,ECK1082,1153300,1154109,+,aminodeoxychorismate lyase,b1096,P28305,aminodeoxychorismate lyase,pabC,0.400955747,0.886219337,0.256490747,0.84751499,Amino acid transport and metabolism,Amino acid transport and metabolism,946647,Coenzyme transport and metabolism,nan,
rihB,rihB,rihB,yeiK,ECK2155,2254245,2255186,-,pyrimidine-specific ribonucleoside hydrolase RihB,b2162,P33022,pyrimidine-specific ribonucleoside hydrolase RihB,rihB,0.460788016,1.01846464,0.306697807,1.013412732,Nucleotide transport and metabolism,Nucleotide transport and metabolism,946646,nan,nan,
yafU,yafU,yafU,noSyn,ECK0218,238746,239084,-,putative inner membrane protein,b0218,P77354,putative inner membrane protein,yafU,0.429989334,0.950391323,0.310063934,1.02453533,nan,no COG,946644,nan,nan,
yehA,yehA,yehA,noSyn,ECK2101,2187380,2188414,-,putative fimbrial adhesin YehA,b2108,P33340,putative fimbrial adhesin YehA,yehA,0.411422145,0.909352874,0.288456464,0.953138389,nan,no COG,946642,nan,nan,
gatZ,gatZ,gatZ,noSyn,ECK2088,2175059,2176321,-,"putative tagatose-1,6-bisphosphate aldolase 2 chaperone",b2095,P0C8J8,"putative tagatose-1,6-bisphosphate aldolase 2 chaperone",gatZ,0.450363298,0.995423228,0.311194506,1.028271047,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946641,nan,nan,
yeiI,yeiI,yeiI,noSyn,ECK2153,2251700,2252788,+,putative sugar kinase YeiI,b2160,P33020,putative sugar kinase YeiI,yeiI,0.444372169,0.982181231,0.303249469,1.00201849,Carbohydrate transport and metabolism,Transcription,946640,Carbohydrate transport and metabolism,nan,
yegW,yegW,yegW,noSyn,ECK2094,2182035,2182781,-,putative DNA-binding transcriptional regulator YegW,b2101,P0ACM5,putative DNA-binding transcriptional regulator YegW,yegW,0.417883118,0.923633351,0.35554495,1.174816941,Transcription,Transcription,946639,nan,nan,
yegT,yegT,yegT,noSyn,ECK2091,2178821,2180098,+,putative transporter YegT,b2098,P76417,putative transporter YegT,yegT,0.443416216,0.98006832,0.306561343,1.012961821,nan,no COG,946638,nan,nan,
yegV,yegV,yegV,noSyn,ECK2093,2181096,2182061,+,putative sugar kinase YegV,b2100,P76419,putative sugar kinase YegV,yegV,0.454594788,1.00477595,0.318008388,1.050785959,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946637,nan,nan,
gatY,gatY,gatY,yegF,ECK2089,2176350,2177204,-,"tagatose-1,6-bisphosphate aldolase 2",b2096,P0C8J6,"tagatose-1,6-bisphosphate aldolase 2",gatY,0.432526375,0.955998862,0.260604223,0.86110703,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,946636,nan,nan,
